name,height,reach,stance,age,weight_class,weight_class_numeric,avg_sig_str,avg_td_pct,avg_sub_att,ko_ratio,sub_ratio,defense,total_fights,win_streak
Albert Tumenov,180.34,185.42,Orthodox,24,Welterweight,5,35.2857,0.143,0.0,0.6,0.0,2.5,14,0
Lukasz Sajewski,172.72,180.34,Orthodox,25,Lightweight,4,20.0,0.0,0.0,0.0,0.0,2.5,4,0
Tamdan McCrory,193.04,198.12,Switch,29,Middleweight,6,18.0,0.35,1.375,0.25,0.5,2.5,16,0
Cody East,190.5,187.96,Orthodox,28,Heavyweight,8,26.0,0.0,0.0,0.0,0.0,2.5,1,0
Kelly Faszholz,172.72,170.18,Orthodox,31,Women's Bantamweight,4,76.0,0.0,0.0,0.0,0.0,2.5,3,0
Antonio Silva,193.04,203.2,Orthodox,37,Heavyweight,8,16.7,0.0,0.0,1.0,0.0,2.5,17,0
Hector Urbina,180.34,185.42,Orthodox,29,Welterweight,5,7.0,0.0,2.5,0.0,1.0,2.5,4,0
Glaico Franca,182.88,195.58,Orthodox,25,Lightweight,4,31.0,0.42,0.5,0.0,1.0,2.5,6,0
Kenny Robertson,177.8,187.96,Orthodox,32,Welterweight,5,37.375,0.39,0.625,0.25,0.5,2.5,17,0
Maximo Blanco,172.72,180.34,Orthodox,32,Featherweight,3,41.375,0.466,0.25,0.25,0.0,2.5,18,0
Augusto Montano,185.42,185.42,Orthodox,31,Welterweight,5,25.5,0.0,0.0,1.0,0.0,2.5,4,0
Leonardo Augusto Leleco,182.88,185.42,Orthodox,34,Middleweight,6,64.0,0.0,0.0,0.0,0.0,2.5,3,0
Joey Gomez,177.8,180.34,Orthodox,27,Bantamweight,2,15.0,1.0,0.0,0.0,0.0,2.5,2,0
Caio Magalhaes,185.42,185.42,Orthodox,28,Middleweight,6,17.1667,0.105,0.8333,0.5,0.25,2.5,11,0
Sean Spencer,177.8,190.5,Orthodox,29,Welterweight,5,62.7143,0.071,0.0,0.0,0.0,2.5,21,0
Josh Barnett,190.5,198.12,Orthodox,38,Heavyweight,8,37.6667,0.333,0.4444,0.6666666666666666,0.16666666666666666,2.5,18,0
Tae Hyun Bang,175.26,180.34,Switch,33,Lightweight,4,31.5,0.5,0.5,0.5,0.0,2.5,10,1
Leandro Issa,170.18,175.26,Orthodox,32,Bantamweight,2,28.0,0.303,1.25,0.0,1.0,2.5,10,0
Leandro Silva,175.26,182.88,Orthodox,30,Lightweight,4,30.7143,0.433,0.4286,0.0,0.3333333333333333,2.5,18,0
Kevin Casey,180.34,195.58,Southpaw,35,Middleweight,6,24.1667,0.11,0.3333,0.0,0.0,2.5,13,0
Shane Campbell,182.88,180.34,Orthodox,29,Lightweight,4,41.75,0.265,0.0,0.0,0.0,2.5,9,0
Rick Story,175.26,180.34,Southpaw,31,Welterweight,5,49.1111,0.568,0.7778,0.16666666666666666,0.16666666666666666,2.5,49,3
Elizabeth Phillips,167.64,165.1,Orthodox,30,Women's Bantamweight,4,47.0,0.167,0.3333,0.0,0.0,2.5,9,1
Lorenz Larkin,180.34,182.88,Orthodox,29,Welterweight,5,39.8889,0.056,0.0,0.5,0.0,2.5,22,1
Alberto Uda,190.5,195.58,Orthodox,32,Middleweight,6,15.0,0.5,0.0,0.0,0.0,2.5,2,0
Horacio Gutierrez,177.8,175.26,Orthodox,25,Featherweight,3,10.0,0.0,0.0,0.0,0.0,2.5,3,0
Tatsuya Kawajiri,170.18,175.26,Orthodox,38,Featherweight,3,22.6,0.324,0.4,0.0,0.3333333333333333,2.5,14,0
Francisco Rivera,172.72,172.72,Orthodox,34,Bantamweight,2,36.6,0.275,0.4,0.75,0.0,2.5,21,0
Cesar Arzamendia,180.34,180.34,Orthodox,25,Lightweight,4,16.0,0.75,0.0,0.0,0.0,2.5,1,0
Jim Alers,175.26,180.34,Orthodox,29,Featherweight,3,31.3333,0.3,0.3333,0.0,0.0,2.5,7,0
